Higher Trade and Delivery Quantity,
Date: 17-Apr-2026,
Major Stocks,
Generated by and for: ratnesh.gold@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Delivered Qty,Delv Times (x),Avg Delv Qty,Traded Qty,Traded Times (x),Avg Traded Qty,Close,Chg %,Symbol with Comma for External Upload
Gujarat State Petronet Ltd.,GSPL,NSE,Gas Transmission,Gas Transmission/Marketing,3709767.00,8.71,425901.00,31568890.00,34.95,903196.00,272.41,7.97,"GSPL,"
MMTC Ltd.,MMTC,NSE,Trading,Trading,6619333.00,8.04,823281.00,97336372.00,29.85,3260970.00,68.32,10.35,"MMTC,"
Nava Ltd.,NAVA,NSE,Ferro Manganese,Ferro & Silica Manganese,1537699.00,7.16,214761.00,25538705.00,48.49,526696.00,703.10,12.23,"NAVA,"
Balkrishna Industries Ltd.,BALKRISIND,NSE,Automobile & Ancillaries,Tyres & Allied,650214.00,6.70,97050.00,729753.00,4.63,157698.00,2329.80,-0.54,"BALKRISIND,"
Premier Energies Ltd.,PREMIERENE,NSE,Trading,Trading,4650294.00,6.55,709586.00,7485168.00,3.95,1895123.00,1034.60,3.14,"PREMIERENE,"
Carborundum Universal Ltd.,CARBORUNIV,NSE,Abrasives,Abrasives,576399.00,6.52,88463.00,870434.00,5.21,166979.00,940.10,6.02,"CARBORUNIV,"
The Ramco Cements Ltd.,RAMCOCEM,NSE,Construction Materials,Cement & Construction Materials,437753.00,4.82,90737.00,539512.00,3.36,160641.00,1011.05,0.91,"RAMCOCEM,"
Inox Wind Ltd.,INOXWIND,NSE,Capital Goods,Electric Equipment,25223348.00,4.11,6136597.00,47576215.00,2.22,21451884.00,97.90,2.62,"INOXWIND,"
Supreme Industries Ltd.,SUPREMEIND,NSE,Plastic Products,Plastic Products,654894.00,4.11,159434.00,1177024.00,3.67,320383.00,3709.00,1.23,"SUPREMEIND,"
CRISIL Ltd.,CRISIL,NSE,Ratings,Ratings,143434.00,4.09,35090.00,444535.00,6.57,67628.00,4335.40,5.07,"CRISIL,"
Brainbees Solutions Ltd.,FIRSTCRY,NSE,Information Technology,e-Commerce,1647154.00,4.08,403373.00,10526077.00,4.36,2413224.00,251.86,1.79,"FIRSTCRY,"
The Fertilisers And Chemicals Travancore Ltd.,FACT,NSE,Chemicals,Fertilizers,476309.00,3.81,125159.00,4208121.00,3.76,1120247.00,902.75,3.54,"FACT,"
Alembic Pharmaceuticals Ltd.,APLLTD,NSE,Healthcare,Pharmaceuticals & Drugs,105740.00,3.80,27861.00,238239.00,4.10,58098.00,784.75,4.87,"APLLTD,"
Triveni Turbine Ltd.,TRITURBINE,NSE,Capital Goods,Engineering - Industrial Equipments,2503118.00,3.69,678486.00,6236306.00,4.41,1412745.00,515.45,7.88,"TRITURBINE,"
NHPC Ltd.,NHPC,NSE,Power,Power Generation/Distribution,29890678.00,3.66,8168301.00,50026609.00,2.32,21538370.00,83.56,2.68,"NHPC,"
Vishal Mega Mart Ltd.,VMM,NSE,Retailing,Retailing,21281260.00,3.55,6001031.00,30756989.00,2.43,12658810.00,118.95,1.19,"VMM,"
JIO Financial Services Ltd.,JIOFIN,NSE,Finance,Finance - NBFC,32091885.00,3.53,9094266.00,51452527.00,2.70,19041540.00,243.86,1.07,"JIOFIN,"
Ircon International Ltd.,IRCON,NSE,Infrastructure,Engineering - Construction,4500384.00,3.51,1282005.00,41393812.00,8.53,4853347.00,154.69,8.65,"IRCON,"
Suzlon Energy Ltd.,SUZLON,NSE,Capital Goods,Electric Equipment,141727612.00,3.38,41916606.00,337159969.00,2.57,131293761.00,52.93,5.33,"SUZLON,"
Aditya Infotech Ltd.,CPPLUS,NSE,Trading,Trading,546311.00,3.32,164663.00,1430618.00,3.69,387328.00,2264.30,7.91,"CPPLUS,"
Engineers India Ltd.,ENGINERSIN,NSE,Infrastructure,Engineering - Construction,5780644.00,3.15,1835158.00,24945465.00,4.60,5417223.00,241.80,5.90,"ENGINERSIN,"
ACC Ltd.,ACC,NSE,Construction Materials,Cement & Construction Materials,343802.00,3.13,110003.00,497877.00,2.12,234684.00,1432.20,-0.73,"ACC,"
Godfrey Phillips India Ltd.,GODFRYPHLP,NSE,Fast Moving Consumer Goods,Cigarettes/Tobacco,696865.00,3.12,223456.00,3521584.00,3.42,1028552.00,2207.70,3.90,"GODFRYPHLP,"
Lloyds Metals & Energy Ltd.,LLOYDSME,NSE,Iron & Steel,Steel/Sponge Iron/Pig Iron,897989.00,3.06,293027.00,1556867.00,2.81,553079.00,1623.30,4.28,"LLOYDSME,"
Physicswallah Ltd.,PWL,NSE,Other,Educational Institutions,3226972.00,3.00,1076472.00,10204664.00,2.21,4613490.00,108.32,2.72,"PWL,"
Chennai Petroleum Corporation Ltd.,CHENNPETRO,NSE,Crude Oil,Refineries,1258159.00,2.92,431459.00,3702206.00,2.34,1584641.00,1041.85,6.22,"CHENNPETRO,"
Colgate-Palmolive (India) Ltd.,COLPAL,NSE,Fast Moving Consumer Goods,Household & Personal Products,655019.00,2.92,224537.00,2100901.00,4.84,433761.00,2106.00,6.50,"COLPAL,"
Gujarat Gas Ltd.,GUJGASLTD,NSE,Gas Transmission,Gas Transmission/Marketing,1590962.00,2.92,543949.00,6733624.00,5.86,1148594.00,362.80,8.14,"GUJGASLTD,"
Waaree Energies Ltd.,WAAREEENER,NSE,Capital Goods,Electric Equipment,1930884.00,2.92,661845.00,3722006.00,1.67,2225117.00,3466.20,0.80,"WAAREEENER,"
Jindal Saw Ltd.,JINDALSAW,NSE,Iron & Steel,Steel & Iron Products,3493759.00,2.88,1211749.00,8544658.00,2.44,3503944.00,236.28,6.71,"JINDALSAW,"
Deepak Nitrite Ltd.,DEEPAKNTR,NSE,Chemicals,Chemicals,273132.00,2.85,95788.00,385762.00,1.81,213128.00,1538.10,0.29,"DEEPAKNTR,"
Shipping Corporation Of India Ltd.,SCI,NSE,Logistics,Shipping,7444122.00,2.78,2681382.00,99845323.00,8.32,12003981.00,305.87,5.86,"SCI,"
PVR Inox Ltd.,PVRINOX,NSE,Media & Entertainment,"Film Production, Distribution & Entertainment",345761.00,2.77,124907.00,474217.00,2.05,230933.00,937.65,-1.39,"PVRINOX,"
Rail Vikas Nigam Ltd.,RVNL,NSE,Infrastructure,Engineering - Construction,5486816.00,2.76,1988826.00,38682777.00,3.80,10187230.00,303.06,3.12,"RVNL,"
Wipro Ltd.,WIPRO,NSE,Information Technology,IT - Software,38887187.00,2.74,14203096.00,80542603.00,2.65,30377230.00,204.32,-2.83,"WIPRO,"
Kajaria Ceramics Ltd.,KAJARIACER,NSE,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,493882.00,2.65,186284.00,679168.00,1.91,355239.00,1178.35,0.70,"KAJARIACER,"
Whirlpool Of India Ltd.,WHIRLPOOL,NSE,Consumer Durables,Consumer Durables - Domestic Appliances,254595.00,2.64,96581.00,622961.00,3.16,197268.00,889.80,4.85,"WHIRLPOOL,"
Angel One Ltd.,ANGELONE,NSE,Finance,Finance - Stock Broking,14136461.00,2.56,5518759.00,80869288.00,4.67,17300767.00,322.47,10.20,"ANGELONE,"
Kalyan Jewellers India Ltd.,KALYANKJIL,NSE,Diamond & Jewellery,Diamond  &  Jewellery,3949947.00,2.53,1562515.00,16926134.00,3.89,4350733.00,426.85,-3.05,"KALYANKJIL,"
Torrent Power Ltd.,TORNTPOWER,NSE,Power,Power Generation/Distribution,607965.00,2.53,240110.00,961504.00,1.92,499508.00,1565.00,2.85,"TORNTPOWER,"
Tata Communications Ltd.,TATACOMM,NSE,Telecom,Telecommunication - Service  Provider,423824.00,2.52,168014.00,576905.00,1.79,321431.00,1521.10,-2.58,"TATACOMM,"
Page Industries Ltd.,PAGEIND,NSE,Textile,Textile,41622.00,2.49,16721.00,65200.00,1.88,34719.00,37975.00,2.69,"PAGEIND,"
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,NSE,Chemicals,Chemicals,81105.00,2.44,33257.00,113271.00,2.10,54065.00,3354.80,-0.65,"FLUOROCHEM,"
Hindustan Unilever Ltd.,HINDUNILVR,NSE,Fast Moving Consumer Goods,Household & Personal Products,2836702.00,2.42,1170086.00,4882697.00,2.43,2008795.00,2240.80,4.75,"HINDUNILVR,"
Patanjali Foods Ltd.,PATANJALI,NSE,Fast Moving Consumer Goods,Edible Oil,1386015.00,2.34,592114.00,2685076.00,1.70,1575494.00,468.30,0.72,"PATANJALI,"
Avenue Supermarts Ltd.,DMART,NSE,Retailing,Retailing,711542.00,2.31,308286.00,1366449.00,2.24,611051.00,4628.50,4.52,"DMART,"
Indus Towers Ltd.,INDUSTOWER,NSE,Telecom,Telecommunication - Service  Provider,7193416.00,2.18,3302726.00,10614267.00,1.72,6163841.00,412.25,-0.22,"INDUSTOWER,"
AWL Agri Business Ltd.,AWL,NSE,Fast Moving Consumer Goods,Edible Oil,2735697.00,2.11,1296404.00,5821739.00,2.02,2878583.00,185.01,1.60,"AWL,"
Tata Elxsi Ltd.,TATAELXSI,NSE,Information Technology,IT - Software,120234.00,2.08,57885.00,366696.00,1.72,212897.00,4592.50,-0.02,"TATAELXSI,"
Natco Pharma Ltd.,NATCOPHARM,NSE,Healthcare,Pharmaceuticals & Drugs,568376.00,2.07,274203.00,1043234.00,1.55,674342.00,1119.70,3.03,"NATCOPHARM,"
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,GNFC,NSE,Chemicals,Chemicals,389544.00,2.06,189005.00,1006375.00,2.76,364754.00,489.70,5.76,"GNFC,"
Radico Khaitan Ltd.,RADICO,NSE,Alcohol,Breweries & Distilleries,652410.00,2.06,316934.00,1189319.00,2.21,536976.00,3186.90,4.96,"RADICO,"
Adani Total Gas Ltd.,ATGL,NSE,Gas Transmission,Gas Transmission/Marketing,1458512.00,2.05,712765.00,8867488.00,2.13,4156903.00,632.90,5.91,"ATGL,"
Ramkrishna Forgings Ltd.,RKFORGE,NSE,Automobile & Ancillaries,Forgings,324765.00,2.01,161341.00,489828.00,1.61,304176.00,535.15,0.17,"RKFORGE,"
SJVN Ltd.,SJVN,NSE,Power,Power Generation/Distribution,4764199.00,2.00,2385291.00,9792864.00,1.54,6359685.00,78.62,3.00,"SJVN,"
Bharti Hexacom Ltd.,BHARTIHEXA,NSE,Telecom,Telecommunication - Service  Provider,141440.00,1.99,71135.00,197740.00,1.76,112398.00,1538.20,0.34,"BHARTIHEXA,"
Tata Teleservices (Maharashtra) Ltd.,TTML,NSE,Telecom,Telecommunication - Service  Provider,3544979.00,1.99,1785202.00,19938975.00,2.50,7971982.00,45.68,4.36,"TTML,"
Varun Beverages Ltd.,VBL,NSE,Fast Moving Consumer Goods,Consumer Food,6410692.00,1.97,3246883.00,11968336.00,1.89,6348852.00,473.90,2.93,"VBL,"
JK Tyre & Industries Ltd.,JKTYRE,NSE,Automobile & Ancillaries,Tyres & Allied,908696.00,1.96,462486.00,2567932.00,2.07,1239733.00,428.40,2.01,"JKTYRE,"
Mangalore Refinery And Petrochemicals Ltd.,MRPL,NSE,Crude Oil,Refineries,2840019.00,1.96,1446045.00,10916404.00,2.08,5256666.00,183.13,4.69,"MRPL,"
Aegis Logistics Ltd.,AEGISLOG,NSE,Trading,Trading,980758.00,1.93,508128.00,6930059.00,3.48,1990908.00,709.30,7.54,"AEGISLOG,"
Nippon Life India Asset Management Ltd.,NAM-INDIA,NSE,Finance,Finance - Asset Management,1278633.00,1.93,661225.00,2327117.00,1.53,1524051.00,1015.05,5.20,"NAM-INDIA,"
REC Ltd.,RECLTD,NSE,Finance,Finance Term Lending,7497158.00,1.93,3876680.00,14949943.00,1.64,9137015.00,373.30,2.50,"RECLTD,"
Sumitomo Chemical India Ltd.,SUMICHEM,NSE,Chemicals,Pesticides & Agrochemicals,150642.00,1.92,78280.00,292915.00,1.91,153556.00,442.40,4.49,"SUMICHEM,"
Jindal Steel Ltd.,JINDALSTEL,NSE,Iron & Steel,Steel/Sponge Iron/Pig Iron,1226583.00,1.91,641282.00,2860655.00,2.02,1417331.00,1270.00,3.39,"JINDALSTEL,"
PNB Housing Finance Ltd.,PNBHOUSING,NSE,Finance,Finance - Housing,923149.00,1.90,485369.00,2129544.00,2.00,1062735.00,923.70,3.35,"PNBHOUSING,"
Dabur India Ltd.,DABUR,NSE,Fast Moving Consumer Goods,Household & Personal Products,2600095.00,1.89,1378707.00,4983325.00,1.94,2574104.00,442.85,3.58,"DABUR,"
Computer Age Management Services Ltd.,CAMS,NSE,Finance,Depository Services,968030.00,1.88,515195.00,2273576.00,1.76,1291325.00,750.15,1.59,"CAMS,"
Redington Ltd.,REDINGTON,NSE,Trading,Trading,3501363.00,1.87,1870555.00,11900676.00,2.48,4807585.00,234.67,3.02,"REDINGTON,"
CE Info Systems Ltd.,MAPMYINDIA,NSE,Information Technology,IT - Software,125071.00,1.84,68042.00,306243.00,1.98,154974.00,955.85,3.68,"MAPMYINDIA,"
Delhivery Ltd.,DELHIVERY,NSE,Logistics,Logistics,2898998.00,1.82,1594364.00,4967474.00,1.56,3185277.00,463.00,0.71,"DELHIVERY,"
Inventurus Knowledge Solutions Ltd.,IKS,NSE,Information Technology,BPO/ITeS,222136.00,1.82,122087.00,337852.00,1.68,201220.00,1499.00,-1.54,"IKS,"
Rashtriya Chemicals and Fertilizers Ltd.,RCF,NSE,Chemicals,Fertilizers,1537751.00,1.81,850060.00,4766933.00,1.66,2873247.00,131.77,2.38,"RCF,"
RR Kabel Ltd.,RRKABEL,NSE,Electricals,Cable,207227.00,1.81,114414.00,513942.00,2.16,238091.00,1475.60,1.42,"RRKABEL,"
360 One Wam Ltd.,360ONE,NSE,Finance,Finance - Stock Broking,1484788.00,1.80,826086.00,2641982.00,1.79,1478406.00,1113.30,3.42,"360ONE,"
Motilal Oswal Financial Services Ltd.,MOTILALOFS,NSE,Finance,Finance - Stock Broking,867475.00,1.77,491037.00,2052561.00,1.75,1170245.00,815.45,4.17,"MOTILALOFS,"
Paradeep Phosphates Ltd.,PARADEEP,NSE,Chemicals,Fertilizers,3626905.00,1.77,2051247.00,10935457.00,1.91,5719229.00,124.33,2.09,"PARADEEP,"
Godrej Consumer Products Ltd.,GODREJCP,NSE,Fast Moving Consumer Goods,Household & Personal Products,1126510.00,1.76,640650.00,1720077.00,1.56,1099610.00,1109.40,2.61,"GODREJCP,"
Travel Food Services Ltd.,TRAVELFOOD,NSE,Hospitality,Restaurants,37017.00,1.73,21379.00,74421.00,1.64,45318.00,1310.90,0.02,"TRAVELFOOD,"
BEML Ltd.,BEML,NSE,Capital Goods,Construction Vehicles,180297.00,1.72,104667.00,661466.00,1.92,344608.00,1772.40,1.86,"BEML,"
The Great Eastern Shipping Company Ltd.,GESHIP,NSE,Logistics,Shipping,481359.00,1.71,280718.00,819986.00,1.65,498154.00,1424.30,3.11,"GESHIP,"
Indian Renewable Energy Development Agency Ltd.,IREDA,NSE,Finance,Finance - NBFC,5105572.00,1.67,3060279.00,17129042.00,1.51,11377402.00,133.01,2.77,"IREDA,"
Indraprastha Gas Ltd.,IGL,NSE,Gas Transmission,Gas Transmission/Marketing,6378873.00,1.67,3811072.00,8478431.00,1.51,5623717.00,169.27,1.94,"IGL,"
